country,country_code,population,vaccine_2021-winter,vaccine_2021-spring,vaccine_2021-summer,vaccine_2021-fall,vaccine_2022-winter,testing_rate_2020,testing_rate_2021,deaths_rate-2020-spring,deaths_rate-2020-summer,deaths_rate-2020-fall,deaths_rate-2021-winter,deaths_rate-2021-spring,deaths_rate-2021-summer,deaths_rate-2021-fall,deaths_rate-2022-winter
Austria,AT,8901064,711326,5070308,4528419,3686962,2744560,902.69,32690.31,11.978,1.167,42.83,89.894,31.633,2.748,31.872,31.218
Belgium,BE,11522440,870773,6802244,7639306,2677905,4549303,1314.77,3192.26,123.405,7.671,86.533,76.306,34.566,4.847,22.805,36.125
Bulgaria,BG,6951482,212445,1251970,877732,1026556,818245,489.46,1553.12,2.988,9.738,59.965,148.69,158.897,25.65,210.912,160.2
Croatia,HR,4058165,243767,1770881,1336909,893535,793016,506.42,2185.7,3.829,2.9,51.368,149.556,90.558,11.278,100.121,160.387
Cyprus,CY,888005,75022,564483,436540,232256,305687,1955.11,32100.15,4.331,0.693,6.237,40.021,26.946,29.712,13.773,35.895
Czechia,CZ,10693939,668862,5263075,5241374,2102682,3031652,792.77,7148.38,4.546,1.525,109.724,178.117,132.752,1.676,43.367,85.574
Denmark,DK,5822763,573968,3104621,4413345,1252617,2718869,3215,27700.48,4.677,1.453,4.848,40.768,4.109,1.797,8.561,28.509
Estonia,EE,1328976,115126,665908,505649,379751,230119,776.26,2677.26,13.834,0.521,4.515,53.425,65.894,4.283,50.473,38.94
Finland,FI,5525292,467172,2727462,3432994,1396639,2340988,914.61,2087.96,8.465,0.278,3.091,9.634,5.3,2.255,12.098,24.433
France,FR,67320216,4734355,36003281,43570675,17449540,29877835,926.64,3768.13,41.775,4.596,61.725,97.431,50.502,11.18,10.584,39.256
Germany,DE,83166711,6318194,48967275,47947936,25225105,36393485,911.48,1322.32,16.096,1.233,15.39,102.514,30.725,3.285,23.051,37.643
Greece,EL,10718565,893956,5297405,5222854,3175284,4081461,618.76,15626.55,2.526,1.134,26.553,62.257,76.876,23.338,64.941,110.894
Hungary,HU,9769526,953575,8015332,2047119,2843284,1116168,449.96,1253.48,8.031,1.653,61.612,166.617,197.78,3.433,84.525,148.843
Iceland,IS,364134,33832,240256,227003,121246,81236,2669.93,4511.36,4.225,0,6.76,1.267,0.392,1.267,0.845,6.866
Ireland,IE,4964440,469396,2712081,3468423,1249174,1684433,1014.61,2737.14,50.498,4.571,8.073,67.867,20.532,4.989,17.897,21.755
Italy,IT,59641488,4383796,33896240,37415206,17626952,27946873,1100.85,3179.34,85.338,6.08,43.611,114.389,70.842,7.789,11.944,45.696
Latvia,LV,1907675,63330,791225,554923,729774,359930,714.08,4716.05,1.936,0.766,13.75,122.582,63.915,13.831,143.227,86.231
Liechtenstein,LI,38747,2589,19247,19082,8632,17229,1097.21,2980.67,3.971,0,55.587,158.821,11.061,3.971,11.912,64.521
Lithuania,LT,2794090,235588,1534688,1160858,694563,613027,1148.24,3437.95,1.459,0.606,44.242,143.104,45.018,17.152,157.613,75.964
Luxembourg,LU,626108,27293,343901,336376,147368,265473,5546.03,7071.96,22.852,4.177,39.806,92.881,50.881,5.897,10.812,20.963
Malta,MT,514564,91322,492208,170112,157185,198592,2147.55,3536,2.541,1.046,26.012,35.43,7.912,5.531,9.119,15.061
Netherlands,NL,17407585,1382453,9410015,11258881,1648639,8234414,863.94,3172.01,53.076,2.528,28.065,54.919,16.458,3.239,15.453,21.054
Norway,NO,5367580,514559,2537985,4094107,1319145,2066337,1150.7,3329.62,6.75,0.817,1.519,8.527,4.511,0.975,7.266,16.534
Poland,PL,37958138,3391636,18723878,12944491,5915921,7832525,431.26,946.49,4.171,3.911,54.019,112.654,117.197,5.818,36.638,132.788
Portugal,PT,10295909,933499,5484327,8183936,2491667,3851585,1136.53,3175.84,20.882,6.246,36.422,178.323,11.6,11.042,10.893,30.898
Romania,RO,19328838,1534254,6694521,1475713,4158883,1345913,529.96,1150.45,9.953,18.541,65.534,80.637,81.392,5.767,174.546,27.627
Slovakia,SK,5457873,447173,2352752,1696768,928170,1162905,434.72,3536.23,0.789,0.141,20.662,173.567,142.782,4.82,58.377,143.462
Slovenia,SI,2095861,172702,1013978,648345,664810,347636,635.1,9092.01,8.295,1.468,92.16,201.9,39.261,5.579,70.065,69.184
Spain,ES,47332614,3940136,26177592,34394023,10091739,15279965,1061.05,1839.44,94.251,5.964,54.227,85.986,21.945,14.761,8.121,24.016
Sweden,SE,10327589,869836,5129714,6792708,2620405,2949909,1017.4,1959.64,66.752,19.366,17.258,89.722,22.395,2.167,6.763,16.981
